[2022/4/16 - 17:30:44] [-] Natalia_Alvarez perdió -1$, razón: [aceptar licencia]
[2022/4/16 - 19:23:54] [+] Natalia_Alvarez recibió 770$, razón: [payday]
[2022/4/16 - 21:3:24] [+] Natalia_Alvarez recibió 780$, razón: [payday]
[2022/4/16 - 22:12:20] [+] Natalia_Alvarez recibió 790$, razón: [payday]
[2022/4/16 - 23:21:25] [+] Natalia_Alvarez recibió 800$, razón: [payday]
[2022/4/17 - 0:29:40] [+] Natalia_Alvarez recibió 810$, razón: [payday]
[2022/4/17 - 0:44:57] [-] Natalia_Alvarez perdió -1,000$, razón: [anuncio]
[2022/4/17 - 0:56:32] [-] Natalia_Alvarez perdió -1,000$, razón: [anuncio]
[2022/4/17 - 18:11:6] [+] Natalia_Alvarez recibió 130$, razón: [payday]
[2022/4/20 - 23:21:11] [-] Natalia_Alvarez perdió -35$, razón: [compra de skin]
[2023/1/6 - 18:52:22] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 18:52:38] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 18:52:38] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 18:52:39] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 18:52:39] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 18:52:40] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 18:52:40] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 18:52:40] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 18:52:42] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 18:52:43] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 18:53:13] [+] Caroline_Dhaves recibió 60$, razón: [payday]
[2023/1/6 - 19:9:56] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:10:6] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:10:6] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:10:7] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:10:8] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:10:9] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:10:9] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:10:10] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:10:10] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:10:11] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:10:11] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:10:12] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:10:12] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:10:13] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:10:13] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:10:14] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:10:14] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:16:36] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:16:38] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:16:40] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:16:40] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:16:41] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:16:41] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:16:43] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:16:43] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:16:44] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:16:44] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:16:45] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:16:45] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:16:46] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:16:46] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:16:49] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:23:13] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:23:17] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:23:17] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:23:18] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:23:18] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:23:19] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:25:3] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:25:11] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:25:13] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:25:13] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:25:13] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:25:14] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:25:15] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:26:30] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:26:31] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:26:32] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:26:37] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:26:40] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:26:40] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:26:40] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:26:41] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:26:41] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:26:42] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:26:42] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:26:44] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:26:45] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:28:36] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:34:19] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:34:20] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:34:20] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:34:20] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:34:21] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:34:21] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:34:21] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:34:34] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:34:35] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:34:35] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:34:36] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:38:11] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:38:16] [+] Caroline_Dhaves recibió 80$, razón: [payday]
[2023/1/6 - 19:39:49] [+] Caroline_Dhaves recibió 50$, razón: [payday]
[2023/1/6 - 19:40:13] [+] Caroline_Dhaves recibió 60$, razón: [payday]
[2023/1/6 - 19:40:17] [+] Caroline_Dhaves recibió 60$, razón: [payday]
[2023/1/6 - 19:40:18] [+] Caroline_Dhaves recibió 60$, razón: [payday]
[2023/1/6 - 19:40:19] [+] Caroline_Dhaves recibió 60$, razón: [payday]
[2023/1/6 - 19:40:38] [+] Caroline_Dhaves recibió 60$, razón: [payday]
[2023/1/6 - 19:40:38] [+] Caroline_Dhaves recibió 60$, razón: [payday]
[2023/1/6 - 19:40:40] [+] Caroline_Dhaves recibió 60$, razón: [payday]
[2023/1/6 - 19:40:40] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:42:53] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:42:57] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:43:0] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:43:1] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:43:2] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:43:11] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:43:14] [+] Caroline_Dhaves recibió 70$, razón: [payday]
[2023/1/6 - 19:44:19] [+] Caroline_Dhaves recibió 60$, razón: [payday]
[2023/1/6 - 19:44:23] [+] Caroline_Dhaves recibió 60$, razón: [payday]
[2023/1/6 - 19:44:23] [+] Caroline_Dhaves recibió 60$, razón: [payday]
[2023/1/6 - 19:44:24] [+] Caroline_Dhaves recibió 60$, razón: [payday]
[2023/1/6 - 19:44:37] [+] Caroline_Dhaves recibió 60$, razón: [payday]
[2023/1/6 - 19:44:38] [+] Caroline_Dhaves recibió 60$, razón: [payday]
[2023/1/6 - 19:44:46] [+] Caroline_Dhaves recibió 60$, razón: [payday]
[2023/1/6 - 19:44:47] [+] Caroline_Dhaves recibió 60$, razón: [payday]
[2023/1/6 - 19:49:36] [+] Caroline_Dhaves recibió 60$, razón: [payday]
[2023/1/6 - 19:49:37] [+] Caroline_Dhaves recibió 60$, razón: [payday]
[2023/1/6 - 19:49:37] [+] Caroline_Dhaves recibió 60$, razón: [payday]
[2023/1/6 - 19:49:38] [+] Caroline_Dhaves recibió 60$, razón: [payday]
[2023/1/6 - 19:49:38] [+] Caroline_Dhaves recibió 60$, razón: [payday]
[2023/1/6 - 19:49:40] [+] Caroline_Dhaves recibió 60$, razón: [payday]
[2023/1/6 - 19:49:40] [+] Caroline_Dhaves recibió 60$, razón: [payday]
